episode,fast_slot,policy,requests,stages,total_delay,compute_delay,transmission_delay,kkt_virtual_cost,infeasible,service_0,service_1,service_2,service_3,service_4
0,0,greedy_delta,9.0,24.0,3.9261741638183594,2.732003927230835,1.1941702365875244,3.9261741638183594,0.0,1.0,2.0,2.0,2.0,2.0
0,0,lookahead_delta,9.0,24.0,3.9261741638183594,2.732003927230835,1.1941702365875244,3.9261741638183594,0.0,1.0,2.0,2.0,2.0,2.0
0,0,wms_planner,9.0,24.0,3.870070457458496,2.683765172958374,1.186305284500122,3.870070457458496,0.0,1.0,2.0,2.0,2.0,2.0
0,1,greedy_delta,11.0,30.0,5.963832974433899,4.290064334869385,1.6737686395645142,5.963832974433899,0.0,1.0,6.0,3.0,1.0,0.0
0,1,lookahead_delta,11.0,30.0,5.968723654747009,4.289539337158203,1.6791843175888062,5.968723654747009,0.0,1.0,6.0,3.0,1.0,0.0
0,1,wms_planner,11.0,30.0,5.971824407577515,4.2906575202941895,1.6811668872833252,5.971824407577515,0.0,1.0,6.0,3.0,1.0,0.0
0,2,greedy_delta,12.0,32.0,7.202057123184204,5.344998359680176,1.8570587635040283,7.202057123184204,0.0,4.0,2.0,3.0,3.0,0.0
0,2,lookahead_delta,12.0,32.0,7.118948936462402,5.215536117553711,1.9034128189086914,7.118948936462402,0.0,4.0,2.0,3.0,3.0,0.0
0,2,wms_planner,12.0,32.0,7.118948936462402,5.215536117553711,1.9034128189086914,7.118948936462402,0.0,4.0,2.0,3.0,3.0,0.0
0,3,greedy_delta,7.0,18.0,2.479687213897705,1.43709397315979,1.042593240737915,2.479687213897705,0.0,2.0,2.0,2.0,1.0,0.0
0,3,lookahead_delta,7.0,18.0,2.3963366746902466,1.509598970413208,0.8867377042770386,2.3963366746902466,0.0,2.0,2.0,2.0,1.0,0.0
0,3,wms_planner,7.0,18.0,2.3963366746902466,1.509598970413208,0.8867377042770386,2.3963366746902466,0.0,2.0,2.0,2.0,1.0,0.0
0,4,greedy_delta,6.0,15.0,1.969716489315033,1.1962838172912598,0.7734326720237732,1.969716489315033,0.0,1.0,1.0,3.0,1.0,0.0
0,4,lookahead_delta,6.0,15.0,1.92233008146286,1.1866869926452637,0.7356430888175964,1.92233008146286,0.0,1.0,1.0,3.0,1.0,0.0
0,4,wms_planner,6.0,15.0,1.92233008146286,1.1866869926452637,0.7356430888175964,1.92233008146286,0.0,1.0,1.0,3.0,1.0,0.0
0,5,greedy_delta,9.0,22.0,3.6757915019989014,2.434135675430298,1.2416558265686035,3.6757915019989014,0.0,2.0,2.0,2.0,1.0,2.0
0,5,lookahead_delta,9.0,22.0,3.544318675994873,2.436530351638794,1.107788324356079,3.544318675994873,0.0,2.0,2.0,2.0,1.0,2.0
0,5,wms_planner,9.0,22.0,3.544318675994873,2.436530351638794,1.107788324356079,3.544318675994873,0.0,2.0,2.0,2.0,1.0,2.0
0,6,greedy_delta,14.0,34.0,7.858062982559204,5.337917804718018,2.5201451778411865,7.858062982559204,0.0,5.0,2.0,5.0,2.0,0.0
0,6,lookahead_delta,14.0,34.0,7.558999061584473,5.255870342254639,2.303128719329834,7.558999061584473,0.0,5.0,2.0,5.0,2.0,0.0
0,6,wms_planner,14.0,34.0,8.040374279022217,5.509679317474365,2.5306949615478516,8.040374279022217,0.0,5.0,2.0,5.0,2.0,0.0
0,7,greedy_delta,9.0,21.0,2.817817449569702,1.929945707321167,0.8878717422485352,2.817817449569702,0.0,3.0,3.0,2.0,0.0,1.0
0,7,lookahead_delta,9.0,21.0,2.839447498321533,1.9413529634475708,0.8980945348739624,2.839447498321533,0.0,3.0,3.0,2.0,0.0,1.0
0,7,wms_planner,9.0,21.0,2.839447498321533,1.9413529634475708,0.8980945348739624,2.839447498321533,0.0,3.0,3.0,2.0,0.0,1.0
0,8,greedy_delta,9.0,22.0,3.5932397842407227,2.3354599475860596,1.257779836654663,3.5932397842407227,0.0,2.0,2.0,2.0,1.0,2.0
0,8,lookahead_delta,9.0,22.0,3.284623384475708,2.1491096019744873,1.1355137825012207,3.284623384475708,0.0,2.0,2.0,2.0,1.0,2.0
0,8,wms_planner,9.0,22.0,3.284623384475708,2.1491096019744873,1.1355137825012207,3.284623384475708,0.0,2.0,2.0,2.0,1.0,2.0
0,9,greedy_delta,10.0,27.0,4.87958562374115,3.4812207221984863,1.3983649015426636,4.87958562374115,0.0,2.0,5.0,1.0,1.0,1.0
0,9,lookahead_delta,10.0,27.0,4.9411104917526245,3.534316301345825,1.4067941904067993,4.9411104917526245,0.0,2.0,5.0,1.0,1.0,1.0
0,9,wms_planner,10.0,27.0,4.9411104917526245,3.534316301345825,1.4067941904067993,4.9411104917526245,0.0,2.0,5.0,1.0,1.0,1.0
0,10,greedy_delta,8.0,21.0,3.4649850130081177,2.186520576477051,1.278464436531067,3.4649850130081177,0.0,4.0,1.0,1.0,2.0,0.0
0,10,lookahead_delta,8.0,21.0,3.5654633045196533,2.3344967365264893,1.230966567993164,3.5654633045196533,0.0,4.0,1.0,1.0,2.0,0.0
0,10,wms_planner,8.0,21.0,3.574965715408325,2.3385963439941406,1.2363693714141846,3.574965715408325,0.0,4.0,1.0,1.0,2.0,0.0
0,11,greedy_delta,12.0,31.0,6.8380125761032104,4.899852752685547,1.9381598234176636,6.8380125761032104,0.0,1.0,5.0,2.0,1.0,3.0
0,11,lookahead_delta,12.0,31.0,6.807631254196167,4.754421234130859,2.0532100200653076,6.807631254196167,0.0,1.0,5.0,2.0,1.0,3.0
0,11,wms_planner,12.0,31.0,6.959746360778809,4.706268310546875,2.2534780502319336,6.959746360778809,0.0,1.0,5.0,2.0,1.0,3.0
0,12,greedy_delta,12.0,35.0,7.691682815551758,5.738951206207275,1.9527316093444824,7.691682815551758,0.0,2.0,5.0,1.0,3.0,1.0
0,12,lookahead_delta,12.0,35.0,7.7663469314575195,5.761146545410156,2.0052003860473633,7.7663469314575195,0.0,2.0,5.0,1.0,3.0,1.0
0,12,wms_planner,12.0,35.0,7.843986749649048,5.775190353393555,2.068796396255493,7.843986749649048,0.0,2.0,5.0,1.0,3.0,1.0
0,13,greedy_delta,7.0,20.0,3.8800346851348877,2.6421844959259033,1.2378501892089844,3.8800346851348877,0.0,2.0,0.0,0.0,3.0,2.0
